rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
232,frame_0100.jpg,40.0,0.266,0.4409,0.125,0.04,4,1,False,False
233,frame_0172.jpg,68.8,0.2598,0.2846,0.125,0.4,6,1,False,False
234,frame_0111.jpg,44.4,0.2568,0.4495,0.0,0.16,6,0,False,False
235,frame_0086.jpg,34.4,0.2564,0.2298,0.125,0.52,6,1,False,False
236,frame_0371.jpg,148.4,0.2512,0.3204,0.25,0.08,6,2,False,False
237,frame_0181.jpg,72.4,0.2457,0.3254,0.25,0.04,6,2,False,False
238,frame_0198.jpg,79.2,0.2444,0.2377,0.125,0.44,2,1,False,False
239,frame_0119.jpg,47.6,0.244,0.221,0.125,0.48,5,1,False,False
240,frame_0093.jpg,37.2,0.2388,0.3065,0.125,0.24,3,1,False,False
241,frame_0311.jpg,124.4,0.2361,0.3062,0.25,0.04,4,2,False,False
242,frame_0217.jpg,86.8,0.234,0.2329,0.125,0.4,4,1,False,False
243,frame_0205.jpg,82.0,0.2314,0.1747,0.0,0.72,4,0,False,False
244,frame_0221.jpg,88.4,0.2296,0.2881,0.125,0.24,4,1,False,False
245,frame_0102.jpg,40.8,0.2208,0.3185,0.125,0.12,4,1,False,False
246,frame_0197.jpg,78.8,0.2181,0.2011,0.125,0.4,2,1,False,False
247,frame_0267.jpg,106.8,0.215,0.3821,0.0,0.12,4,0,False,False
248,frame_0092.jpg,36.8,0.206,0.225,0.125,0.28,4,1,False,False
249,frame_0223.jpg,89.2,0.2052,0.2714,0.125,0.16,4,1,False,False
250,frame_0190.jpg,76.0,0.1978,0.2727,0.125,0.12,4,1,False,False
251,frame_0204.jpg,81.6,0.1968,0.1216,0.0,0.68,3,0,False,False
252,frame_0189.jpg,75.6,0.1944,0.3568,0.0,0.08,5,0,False,False
253,frame_0382.jpg,152.8,0.1804,0.2537,0.125,0.08,8,1,False,False
254,frame_0313.jpg,125.2,0.1789,0.3418,0.0,0.04,3,0,False,False
255,frame_0110.jpg,44.0,0.118,0.188,0.0,0.12,5,0,False,False
256,frame_0325.jpg,130.0,0.0898,0.1636,0.0,0.04,7,0,False,False
